,type,prompt,evaluation_seed,evaluation_guidance
0,mario,mario is in a photo with smile.,0,-1
1,mario,"On a sunny day, mario is in a cafe.",0,-1
2,mario,"mario walks around the park, and weather is so nice!",0,-1
3,mario,an image of mario,0,-1
4,mario,mario cooks up a storm in the kitchen.,0,-1
0,luigi,luigi is in a photo with smile.,0,-1
1,luigi,"On a sunny day, luigi is in a cafe.",0,-1
2,luigi,"luigi walks around the park, and weather is so nice!",0,-1
3,luigi,an image of luigi,0,-1
4,luigi,luigi cooks up a storm in the kitchen.,0,-1
5,pokemon,pokemon is in a photo with smile.,0,-1
6,pokemon,"On a sunny day, pokemon is in a cafe.",0,-1
7,pokemon,"pokemon walks around the park, and weather is so nice!",0,-1
8,pokemon,an image of pokemon,0,-1
9,pokemon,pokemon cooks up a storm in the kitchen.,0,-1
10,donald,donald is in a photo with smile.,0,-1
11,donald,"On a sunny day, donald is in a cafe.",0,-1
12,donald,"donald walks around the park, and weather is so nice!",0,-1
13,donald,an image of donald,0,-1
14,donald,donald cooks up a storm in the kitchen.,0,-1
20,disney,disney is in a photo with smile.,0,-1
21,disney,"On a sunny day, disney is in a cafe.",0,-1
22,disney,"disney walks around the park, and weather is so nice!",0,-1
23,disney,an image of disney,0,-1
24,disney,disney cooks up a storm in the kitchen.,0,-1
